grade;date;type_id;skill_name;skill_employee_username
94448;2021-03-12;1;Kenya;calculate networks
71328;2021-03-13;2;streamline;Tuna Bedfordshire
3662;2021-03-12;3;transparent niches;Handmade Assistant
94063;2021-03-13;4;driver Ball;Sleek
12209;2021-03-12;5;Vista Ergonomic;reinvent orchestrate
54605;2021-03-13;6;Guinea-Bissau;mobile Granite
58089;2021-03-12;7;haptic Metrics;pink
72489;2021-03-12;8;Berkshire open-source;deposit Soap Marketing
73922;2021-03-12;9;back-end;Kiribati Group
46508;2021-03-12;10;extranet;Cambridgeshire Automated
