id;name;type;end_date;created_at;modified_at;done;description;attachment;attachment_content_type;picture;picture_content_type;user_id
77763;open-source Intelligent;TYPE3;2020-11-09;2020-11-09T08:57:27;2020-11-09T16:42:10;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
29717;Web Chair;TYPE3;2020-11-10;2020-11-09T16:55:24;2020-11-10T07:24:03;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
28252;South;TYPE3;2020-11-10;2020-11-09T08:17:01;2020-11-09T21:00:31;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
82637;Human state Wisconsin;TYPE2;2020-11-10;2020-11-10T06:53:20;2020-11-09T13:42:08;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
28136;Pizza synthesizing Pa'anga;TYPE2;2020-11-09;2020-11-09T13:03:51;2020-11-10T04:21:15;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2
627;Shilling Movies;TYPE3;2020-11-10;2020-11-09T09:38:01;2020-11-09T20:34:08;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2
39138;Checking Intelligent programming;TYPE3;2020-11-09;2020-11-09T21:39:52;2020-11-09T19:00:13;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
28011;Engineer navigate;TYPE2;2020-11-09;2020-11-10T03:40:31;2020-11-10T04:04:24;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2
28592;Legacy THX;TYPE1;2020-11-10;2020-11-10T02:51:18;2020-11-10T01:45:42;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;1
51586;mission-critical copying;TYPE1;2020-11-09;2020-11-10T05:19:05;2020-11-09T18:58:19;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;2
