uuid;name
6799bb68-79fb-48aa-b9bd-74f4f4551464;Applications
a21ebae8-1df5-47e5-8008-69f99cdb10fc;non-volatile Usability index
80fae2fd-8916-44e2-9b0a-fc57cbe80a96;Granite
1e731cf8-e8b7-40a6-a136-445f100c8f6d;parse
0bea447b-7c17-4f75-881b-a210dc677f43;Table Manors Frozen
c2e95fda-4079-4ec7-b815-bb3a44c74538;Fresh Tasty
9e78b5fd-7029-4ba2-bab1-f63066eef4ac;Arkansas Baby calculate
2e17707b-f450-4c06-a8a7-b7b9dbf3e031;Kansas drive payment
90279468-58b7-414b-a0e7-402164ff1c3d;Streamlined Shirt Steel
6be2e07e-6703-48fd-a341-d5bdbb7018b2;GB applications Agent
